seat,waitlistSeat
"(10,1,9)","(0,0,0)"
"(21,0,21)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,9,16)","(25,0,25)"
"(5,4,1)","(25,0,25)"
"(15,11,4)","(25,0,25)"
"(37,37,0)","(0,0,0)"
"(37,30,7)","(0,0,0)"
"(80,71,9)","(0,0,0)"
"(70,50,20)","(0,0,0)"
"(75,58,17)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(75,68,7)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(100,37,63)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(8,8,0)","(3,2,1)"
"(75,30,45)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(10,10,0)","(0,0,0)"
"(115,115,0)","(15,4,11)"
"(8,7,1)","(2,0,2)"
"(10,0,10)","(0,0,0)"
"(15,15,0)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,2,3)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(5,4,1)","(0,0,0)"
"(8,1,7)","(0,0,0)"
"(15,3,12)","(0,0,0)"
"(3,0,3)","(0,0,0)"
"(1,0,1)","(0,0,0)"
"(2,0,2)","(0,0,0)"
"(5,1,4)","(0,0,0)"
"(5,1,4)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(25,17,8)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(15,8,7)","(0,0,0)"
"(29,13,16)","(0,0,0)"
"(75,51,24)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(6,2,1)","(3,3,0)"
"(75,43,32)","(0,0,0)"
"(20,1,19)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(3,0,3)","(0,0,0)"
"(10,10,0)","(0,0,0)"
"(9,6,3)","(0,0,0)"
"(8,6,2)","(5,0,5)"
"(15,15,0)","(0,0,0)"
"(9,3,6)","(10,0,10)"
"(10,7,3)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,10,0)","(0,0,0)"
"(10,6,4)","(0,0,0)"
"(20,8,12)","(0,0,0)"
"(10,5,5)","(0,0,0)"
"(1,0,1)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(1,0,1)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(75,43,32)","(0,0,0)"
"(64,48,16)","(0,0,0)"
"(64,48,16)","(0,0,0)"
"(15,5,10)","(0,0,0)"
"(17,0,17)","(0,0,0)"
"(27,10,17)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(50,38,12)","(0,0,0)"
"(12,0,12)","(0,0,0)"
"(13,1,12)","(0,0,0)"
"(8,10,0)","(8,1,7)"
"(15,3,12)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(1,0,1)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(191,191,0)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(1,0,1)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,1,4)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(1,0,1)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,1,4)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(1,1,0)","(0,0,0)"
"(8,0,8)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(2,0,2)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,2,3)","(0,0,0)"
"(15,6,9)","(0,0,0)"
"(5,0,5)","(0,0,0)"
