crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
55108,10,0,10,0,0,0
56172,10,0,10,0,0,0
91934,24,23,1,5,0,5
86767,90,72,18,0,0,0
30960,16,16,0,10,2,8
29374,10,0,10,0,0,0
91973,10,0,10,0,0,0
59173,10,0,10,0,0,0
25168,10,0,10,0,0,0
89040,5,0,5,0,0,0
27476,5,0,5,0,0,0
55708,10,1,9,0,0,0
56832,10,0,10,0,0,0
86775,90,93,0,0,0,0
91936,24,24,0,5,0,5
33563,16,16,0,10,3,7
80470,10,2,8,0,0,0
24788,10,0,10,0,0,0
27116,10,0,10,0,0,0
31832,5,0,5,0,0,0
54318,10,0,10,0,0,0
59174,10,0,10,0,0,0
53983,10,4,6,0,0,0
86768,65,49,16,0,0,0
90894,25,0,25,0,0,0
90656,110,106,4,15,0,15
32676,30,30,0,5,1,4
85578,10,0,10,0,0,0
53172,10,0,10,0,0,0
59175,10,0,10,0,0,0
90664,65,55,10,10,0,10
94705,19,16,3,0,0,0
