courseTerm|crn|seatCapacity|seatActual|seatRemaining|waitlistCapacity|waitlistActual|waitlistRemaining
202208|87721|10|0|10|0|0|0
202302|31911|10|0|10|0|0|0
202205|51456|5|0|5|0|0|0
202302|28203|135|0|135|15|0|15
202302|27206|10|0|10|0|0|0
202205|55656|10|0|10|0|0|0
202208|80423|10|0|10|0|0|0
202208|93790|10|10|0|0|0|0
202302|22591|10|0|10|0|0|0
202208|88841|10|0|10|0|0|0
202205|55380|1|0|1|0|0|0
202205|52937|10|0|10|0|0|0
202302|30829|10|0|10|0|0|0
202205|55082|10|0|10|0|0|0
202205|55657|10|0|10|0|0|0
202208|80424|10|0|10|0|0|0
202208|84736|7|7|0|0|0|0
202302|27804|10|0|10|0|0|0
202302|28826|24|0|24|5|0|5
202208|93791|10|9|1|0|0|0
202302|21369|10|0|10|0|0|0
202205|51898|10|0|10|0|0|0
202208|86762|10|0|10|0|0|0
202205|53934|2|0|2|0|0|0
202302|30350|10|0|10|0|0|0
202205|51849|10|0|10|0|0|0
202205|55658|10|0|10|0|0|0
202302|22688|10|0|10|0|0|0
202302|28827|24|0|24|5|0|5
202208|88456|15|11|4|0|0|0
202208|86888|10|0|10|5|0|5
202205|51264|10|1|9|0|0|0
202208|85407|10|1|9|0|0|0
202302|26015|10|0|10|0|0|0
202302|31653|10|0|10|0|0|0
202302|22914|30|0|30|0|0|0
202208|92977|188|114|74|0|0|0
202205|54360|5|0|5|0|0|0
202205|56189|10|0|10|0|0|0
202205|55703|10|1|9|0|0|0
202302|28845|10|0|10|0|0|0
202302|28666|10|0|10|0|0|0
202208|90178|10|0|10|0|0|0
202208|94224|100|10|90|0|0|0
202302|27798|10|0|10|0|0|0
202208|88851|5|0|5|0|0|0
202208|88010|10|1|9|0|0|0
202205|53152|10|0|10|0|0|0
202302|31665|10|0|10|0|0|0
202205|51181|10|0|10|0|0|0
202205|55373|1|0|1|0|0|0
202205|55704|10|0|10|0|0|0
202302|28667|10|0|10|0|0|0
202302|20420|10|0|10|0|0|0
202208|82426|10|0|10|0|0|0
202208|92978|264|247|17|0|0|0
202208|94647|5|1|4|0|0|0
202205|51790|5|0|5|0|0|0
202205|55820|10|0|10|0|0|0
202208|88830|10|0|10|0|0|0
202302|22988|10|0|10|0|0|0
202302|31913|20|0|20|0|0|0
202302|28207|75|0|75|15|0|15
202205|55705|10|0|10|0|0|0
202208|93555|24|23|1|5|0|5
202208|84771|10|0|10|0|0|0
202302|28846|10|0|10|0|0|0
202205|56594|5|0|5|0|0|0
202208|92566|5|2|3|0|0|0
202208|86581|10|1|9|0|0|0
202205|52423|5|0|5|0|0|0
202205|50340|10|0|10|0|0|0
202302|26014|15|0|15|0|0|0
202302|31668|4|0|4|0|0|0
202208|94086|20|20|0|5|0|5
202302|28847|10|0|10|0|0|0
202205|56555|10|0|10|0|0|0
202205|57485|5|1|4|0|0|0
202208|83417|10|1|9|0|0|0
202302|33125|68|0|68|10|0|10
202208|92465|5|1|4|0|0|0
202205|56831|10|0|10|0|0|0
202208|88824|10|1|9|0|0|0
202302|22458|100|0|100|0|0|0
202205|50341|10|0|10|0|0|0
202208|94089|20|20|0|5|0|5
202302|21977|10|0|10|0|0|0
202302|31651|10|0|10|0|0|0
202205|56914|5|0|5|0|0|0
202205|55706|10|0|10|0|0|0
202208|91722|20|0|20|0|0|0
202302|28208|106|0|106|15|0|15
202208|90179|10|0|10|0|0|0
202205|54546|10|0|10|0|0|0
202302|31244|5|0|5|0|0|0
202208|83245|10|3|7|0|0|0
202205|55821|10|0|10|0|0|0
202208|93556|24|24|0|5|0|5
202302|30801|10|0|10|0|0|0
202302|22068|10|0|10|0|0|0
202205|56065|5|0|5|0|0|0
202205|55707|10|0|10|0|0|0
202208|92568|10|3|7|0|0|0
202302|30701|24|0|24|5|0|5
202205|53135|10|0|10|0|0|0
202208|86580|15|2|13|0|0|0
202208|82797|10|0|10|0|0|0
